content,tag,content_original
"ASSIGN = 'Leave', 'Stay' ASSIGN = [' ASSIGN = [df['Attrition'].value_counts()['Yes'],df['Attrition'].value_counts()['No']] ASSIGN = (0.25, 0) fig1, ax1 = plt.subplots() ax1.pie(ASSIGN, ASSIGN=ASSIGN, ASSIGN=ASSIGN, ASSIGN=ASSIGN, autopct='%1.2f%%', ASSIGN=True, startangle=90) ax1.axis('equal') plt.show()",1,"['# Cheese view of target data\n', ""labels = 'Leave', 'Stay'\n"", ""colors = ['#ff9999','#99ff99']\n"", ""sizes = [df['Attrition'].value_counts()['Yes'],df['Attrition'].value_counts()['No']]\n"", 'explode = (0.25, 0)\n', 'fig1, ax1 = plt.subplots()\n', ""ax1.pie(sizes, explode=explode, labels=labels, colors=colors, autopct='%1.2f%%',\n"", '        shadow=True, startangle=90)\n', ""ax1.axis('equal')  \n"", 'plt.show()']"
"original_train.Date = original_train.Date.apply(lambda x:get_dt(x)) original_train.rename(columns = {'Province_State':'Province','Country_Region':'Country'},inplace = True) for i in range(len(original_train)): if original_train.Province[i] is np.NaN: original_train.Province[i] = original_train.Country[i] for i in range(len(original_train)): if original_train.Date[i]<datetime.strptime('2020-04-02','%Y-%m-%d') or original_train.Date[i]>datetime.strptime('2020-04-08','%Y-%m-%d'): original_train.drop(i,inplace=True) del original_train['Id'] del original_train['Country']",0,"['original_train.Date = original_train.Date.apply(lambda x:get_dt(x))\n', ""original_train.rename(columns = {'Province_State':'Province','Country_Region':'Country'},inplace = True)\n"", 'for i in range(len(original_train)):\n', '    if original_train.Province[i] is np.NaN:\n', '        original_train.Province[i] = original_train.Country[i]\n', '        \n', 'for i in range(len(original_train)):\n', ""    if original_train.Date[i]<datetime.strptime('2020-04-02','%Y-%m-%d') or original_train.Date[i]>datetime.strptime('2020-04-08','%Y-%m-%d'):\n"", '        original_train.drop(i,inplace=True)\n', '        \n', ""del original_train['Id']\n"", ""del original_train['Country']""]"
"ASSIGN = pd.get_dummies(ASSIGN, columns=cat)",0,"['df = pd.get_dummies(df, columns=cat)']"
'''train=pd.DataFrame(np.array(train)) train.columns=columns_list''',0,"[""'''train=pd.DataFrame(np.array(train))\n"", ""train.columns=columns_list'''""]"
"sns.jointplot(x = 'TOEFL Score', y = 'CGPA', data=df)",1,"[""sns.jointplot(x = 'TOEFL Score', y = 'CGPA', data=df)""]"
"matplotlib.rcParams['figure.figsize'] = (10.0, 10.0) ASSIGN = extr.predict(X_train[:10000]) X_proj.shape ASSIGN = pd.DataFrame(X_proj[:,:2]) ASSIGN.columns = [""comp_1"", ""comp_2""] ASSIGN = y_train[:10000] sns.lmplot(""comp_1"", ""comp_2"",hue = ""labels"", data = ASSIGN, fit_reg=False)",1,"[""matplotlib.rcParams['figure.figsize'] = (10.0, 10.0)\n"", '\n', 'X_proj = extr.predict(X_train[:10000])\n', 'X_proj.shape\n', '\n', 'proj = pd.DataFrame(X_proj[:,:2])\n', 'proj.columns = [""comp_1"", ""comp_2""]\n', 'proj[""labels""] = y_train[:10000]\n', '\n', 'sns.lmplot(""comp_1"", ""comp_2"",hue = ""labels"", data = proj, fit_reg=False)']"
"CHECKPOINT print('Image ID:', image_ids[0]) print('Annotations:\n', prediction_strings[0])",0,"[""print('Image ID:', image_ids[0])\n"", ""print('Annotations:\\n', prediction_strings[0])""]"
"ASSIGN=data['OFFENSE_CODE_GROUP'].value_counts() ASSIGN=list(data['OFFENSE_CODE_GROUP'].value_counts().index)[:9] ASSIGN=list(count[:9]) ASSIGN.append(ASSIGN.agg(sum)-ASSIGN[:9].agg('sum')) ASSIGN.append('other_type') ASSIGN={""group"":groups, ""ASSIGN"":ASSIGN} ASSIGN=pd.DataFrame(ASSIGN) ASSIGN = type_dict.plot(kind='pie', figsize=(10,7), y='counts', labels=groups, ASSIGN='%1.1f%%', pctdistance=0.9, radius=1.2) plt.legend(loc=0, bbox_to_anchor=(0.95,0.6)) plt.title('Top 10 for crime type', weight='bold', size=14,y=1.08) plt.axis('equal') plt.ylabel('') plt.show() plt.clf() plt.close()",1,"[""count=data['OFFENSE_CODE_GROUP'].value_counts()\n"", ""groups=list(data['OFFENSE_CODE_GROUP'].value_counts().index)[:9]\n"", 'counts=list(count[:9])\n', ""counts.append(count.agg(sum)-count[:9].agg('sum'))\n"", '\n', ""groups.append('other_type')\n"", 'type_dict={""group"":groups,\n', '          ""counts"":counts}\n', 'type_dict=pd.DataFrame(type_dict)\n', ""qx = type_dict.plot(kind='pie', figsize=(10,7), y='counts', labels=groups,\n"", ""             autopct='%1.1f%%', pctdistance=0.9, radius=1.2)\n"", 'plt.legend(loc=0, bbox_to_anchor=(0.95,0.6)) \n', '\n', ""plt.title('Top 10 for crime type', weight='bold', size=14,y=1.08)\n"", ""plt.axis('equal')\n"", ""plt.ylabel('')\n"", 'plt.show()\n', 'plt.clf()\n', 'plt.close()']"
df1.head(5),0,['df1.head(5)']
"for epoch in range(1, 21): train_model(epoch) test_model(epoch)",0,"['for epoch in range(1, 21):\n', '    train_model(epoch)\n', '    test_model(epoch)']"
"ASSIGN = pd.DataFrame(index=np.arange(0, total_images), columns=[""path"", ""target""]) ASSIGN = 0 for n in range(len(folder)): ASSIGN = folder[n] ASSIGN = os.path.join(base_path,class_id) ASSIGN = os.listdir(final_path) for m in range(len(ASSIGN)): ASSIGN = subfiles[m] ASSIGN.iloc[ASSIGN][""path""] = os.path.join(ASSIGN,ASSIGN) ASSIGN.iloc[ASSIGN][""target""] = ASSIGN ASSIGN += 1 ASSIGN.head()",0,"['data = pd.DataFrame(index=np.arange(0, total_images), columns=[""path"", ""target""])\n', '\n', 'k = 0\n', 'for n in range(len(folder)):\n', '    class_id = folder[n]\n', '    final_path = os.path.join(base_path,class_id) \n', '    subfiles = os.listdir(final_path)\n', '    for m in range(len(subfiles)):\n', '      image_path = subfiles[m]\n', '      data.iloc[k][""path""] = os.path.join(final_path,image_path)\n', '      data.iloc[k][""target""] = class_id\n', '      k += 1  \n', '\n', 'data.head()']"
match_stats_df.goal.unique()[1],0,"['#inspecting goal values\n', 'match_stats_df.goal.unique()[1]']"
"CHECKPOINT ASSIGN=-73.80 ASSIGN=40.70 ASSIGN=folium.Map([Lat,Long],zoom_start=12) ASSIGN=plugins.MarkerCluster().add_to(data_Queens_100_1_map) for lat,lon,label in zip(data_Queens_100_1.latitude,data_Queens_100_1.longitude,data_Queens_100_1.label): folium.Marker(location=[lat,lon],icon=None,popup=label).add_to(ASSIGN) ASSIGN.add_child(ASSIGN) data_Queens_100_1_map",1,"['Long=-73.80\n', 'Lat=40.70\n', 'data_Queens_100_1_map=folium.Map([Lat,Long],zoom_start=12)\n', '\n', 'data_Queens_100_1_rooms_map=plugins.MarkerCluster().add_to(data_Queens_100_1_map)\n', 'for lat,lon,label in zip(data_Queens_100_1.latitude,data_Queens_100_1.longitude,data_Queens_100_1.label):\n', '    folium.Marker(location=[lat,lon],icon=None,popup=label).add_to(data_Queens_100_1_rooms_map)\n', 'data_Queens_100_1_map.add_child(data_Queens_100_1_rooms_map)\n', '\n', 'data_Queens_100_1_map']"
"CHECKPOINT ASSIGN = Sequential() ASSIGN.add(Conv2D(32, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same', input_shape=(100, 100, 3))) ASSIGN.add(MaxPooling2D((2, 2))) ASSIGN.add(Dropout(0.2)) ASSIGN.add(Conv2D(64, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same')) ASSIGN.add(MaxPooling2D((2, 2))) ASSIGN.add(Dropout(0.2)) ASSIGN.add(Conv2D(128, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same')) ASSIGN.add(MaxPooling2D((2, 2))) ASSIGN.add(Dropout(0.2)) ASSIGN.add(Conv2D(256, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same')) ASSIGN.add(MaxPooling2D((2, 2))) ASSIGN.add(Dropout(0.2)) ASSIGN.add(Flatten()) ASSIGN.add(Dense(128, activation='relu', kernel_initializer='he_uniform')) ASSIGN.add(Dropout(0.5)) ASSIGN.add(Dense(1, activation='sigmoid')) print(ASSIGN.summary()) input_and_run2(ASSIGN,X_train,X_val,X_test,Y_train,Y_val,Y_test,alpha=0.001,num_epochs=200)",0,"['##BUILDING THE MODEL 1\n', '\n', 'model4 = Sequential()#add model layers\n', '\n', ""model4.add(Conv2D(32, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same', input_shape=(100, 100, 3)))\n"", 'model4.add(MaxPooling2D((2, 2)))\n', 'model4.add(Dropout(0.2))\n', ""model4.add(Conv2D(64, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same'))\n"", 'model4.add(MaxPooling2D((2, 2)))\n', 'model4.add(Dropout(0.2))\n', ""model4.add(Conv2D(128, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same'))\n"", 'model4.add(MaxPooling2D((2, 2)))\n', 'model4.add(Dropout(0.2))\n', ""model4.add(Conv2D(256, (3, 3), activation='relu', kernel_initializer='he_uniform', padding='same'))\n"", 'model4.add(MaxPooling2D((2, 2)))\n', 'model4.add(Dropout(0.2))\n', 'model4.add(Flatten())\n', ""model4.add(Dense(128, activation='relu', kernel_initializer='he_uniform'))\n"", 'model4.add(Dropout(0.5))\n', ""model4.add(Dense(1, activation='sigmoid'))\n"", '\n', 'print(model4.summary())\n', 'input_and_run2(model4,X_train,X_val,X_test,Y_train,Y_val,Y_test,alpha=0.001,num_epochs=200)']"
"class MyDataset(Dataset): def __init__(self, data1,data2, labels): self.trend= data1 self.stable= data2 self.labels = labels def __getitem__(self, index): ASSIGN = self.trend[index], self.stable[index], self.labels[index] return trend,stable,labels def __len__(self): return len(self.trend) ASSIGN = MyDataset(data1 = X_temporal_train,data2 = X_stable_train,labels = Y_train) ASSIGN =MyDataset(data1 = X_temporal_test,data2 = X_stable_test,labels = Y_test) ASSIGN = torch.utils.data.DataLoader(train_ds,batch_size = 10,shuffle=False) ASSIGN = torch.utils.data.DataLoader(test_ds,batch_size = 10,shuffle=False)",0,"['# Create train,test loader for training\n', 'class MyDataset(Dataset):\n', '    def __init__(self, data1,data2, labels):\n', '        self.trend= data1\n', '        self.stable= data2\n', '        self.labels = labels  \n', '\n', '    def __getitem__(self, index):    \n', '        trend,stable, labels = self.trend[index], self.stable[index], self.labels[index]\n', '        return trend,stable,labels\n', '\n', '    def __len__(self):\n', '        return len(self.trend) \n', '    \n', 'train_ds = MyDataset(data1 = X_temporal_train,data2 = X_stable_train,labels = Y_train)\n', 'test_ds =MyDataset(data1 = X_temporal_test,data2 = X_stable_test,labels = Y_test)\n', 'train_loader = torch.utils.data.DataLoader(train_ds,batch_size = 10,shuffle=False)\n', 'test_loader = torch.utils.data.DataLoader(test_ds,batch_size = 10,shuffle=False)']"
"CHECKPOINT ASSIGN = model.fit(maxlag=2,method='cmle') print(f'Lag: {ASSIGN.k_ar}') print(f'Coefficients:\n{ASSIGN.params}')",0,"[""ARfit = model.fit(maxlag=2,method='cmle')\n"", ""print(f'Lag: {ARfit.k_ar}')\n"", ""print(f'Coefficients:\\n{ARfit.params}')""]"
ASSIGN = to_categorical(y_train),0,['y_ohe = to_categorical(y_train)']
"ASSIGN=[] for dir1 in dirs: ASSIGN=os.listdir(r""..path""+dir1) for file in ASSIGN: ASSIGN=pd.read_csv(""..path""+dir1+""path""+file,quotechar='""',delimiter=""|"") ASSIGN.append(ASSIGN.values)",0,"['#storing all the files from every directory\n', 'li=[]\n', 'for dir1 in dirs:\n', '    files=os.listdir(r""../input/zomato_data/""+dir1)\n', '    #reading each file from list of files from previous step and creating pandas data fame    \n', '    for file in files:\n', '        \n', '        df_file=pd.read_csv(""../input/zomato_data/""+dir1+""/""+file,quotechar=\'""\',delimiter=""|"")\n', '#appending the dataframe into a list\n', '        li.append(df_file.values)\n', '    \n', '    ']"
"ASSIGN = 131073 ASSIGN = [c for c in train.columns if c not in ['id', 'target','target_pred', 'wheezy-copper-turtle-magic']] ASSIGN = [c for c in default_cols] ASSIGN = pd.read_csv('..path') ASSIGN.to_csv('submission.csv',index=False)",0,"['magicNum = 131073\n', ""default_cols = [c for c in train.columns if c not in ['id', 'target','target_pred', 'wheezy-copper-turtle-magic']]\n"", 'cols = [c for c in default_cols]\n', ""sub = pd.read_csv('../input/sample_submission.csv')\n"", ""sub.to_csv('submission.csv',index=False)""]"
"CHECKPOINT class Net(nn.Module): def __init__(self): super(Net, self).__init__() self.conv1 = nn.Conv1d(1, 128, 80, 4) self.bn1 = nn.BatchNorm1d(128) self.pool1 = nn.MaxPool1d(4) self.conv2 = nn.Conv1d(128, 128, 3) self.bn2 = nn.BatchNorm1d(128) self.pool2 = nn.MaxPool1d(4) self.conv3 = nn.Conv1d(128, 256, 3) self.bn3 = nn.BatchNorm1d(256) self.pool3 = nn.MaxPool1d(4) self.conv4 = nn.Conv1d(256, 512, 3) self.bn4 = nn.BatchNorm1d(512) self.pool4 = nn.MaxPool1d(4) self.avgPool = nn.AvgPool1d(30) self.fc1 = nn.Linear(512, 10) def forward(self, x): ASSIGN = self.conv1(ASSIGN) ASSIGN = F.relu(self.bn1(ASSIGN)) ASSIGN = self.pool1(ASSIGN) ASSIGN = self.conv2(ASSIGN) ASSIGN = F.relu(self.bn2(ASSIGN)) ASSIGN = self.pool2(ASSIGN) ASSIGN = self.conv3(ASSIGN) ASSIGN = F.relu(self.bn3(ASSIGN)) ASSIGN = self.pool3(ASSIGN) ASSIGN = self.conv4(ASSIGN) ASSIGN = F.relu(self.bn4(ASSIGN)) ASSIGN = self.pool4(ASSIGN) ASSIGN = self.avgPool(ASSIGN) ASSIGN = ASSIGN.permute(0, 2, 1) ASSIGN = self.fc1(ASSIGN) return F.log_softmax(ASSIGN, dim = 2) ASSIGN = Net() ASSIGN.to(device) print(ASSIGN)",0,"['class Net(nn.Module):\n', '    def __init__(self):\n', '        super(Net, self).__init__()\n', '        self.conv1 = nn.Conv1d(1, 128, 80, 4)\n', '        self.bn1 = nn.BatchNorm1d(128)\n', '        self.pool1 = nn.MaxPool1d(4)\n', '        self.conv2 = nn.Conv1d(128, 128, 3)\n', '        self.bn2 = nn.BatchNorm1d(128)\n', '        self.pool2 = nn.MaxPool1d(4)\n', '        self.conv3 = nn.Conv1d(128, 256, 3)\n', '        self.bn3 = nn.BatchNorm1d(256)\n', '        self.pool3 = nn.MaxPool1d(4)\n', '        self.conv4 = nn.Conv1d(256, 512, 3)\n', '        self.bn4 = nn.BatchNorm1d(512)\n', '        self.pool4 = nn.MaxPool1d(4)\n', '        self.avgPool = nn.AvgPool1d(30) #input should be 512x30 so this outputs a 512x1\n', '        self.fc1 = nn.Linear(512, 10)\n', '        \n', '    def forward(self, x):\n', '        x = self.conv1(x)\n', '        x = F.relu(self.bn1(x))\n', '        x = self.pool1(x)\n', '        x = self.conv2(x)\n', '        x = F.relu(self.bn2(x))\n', '        x = self.pool2(x)\n', '        x = self.conv3(x)\n', '        x = F.relu(self.bn3(x))\n', '        x = self.pool3(x)\n', '        x = self.conv4(x)\n', '        x = F.relu(self.bn4(x))\n', '        x = self.pool4(x)\n', '        x = self.avgPool(x)\n', '        x = x.permute(0, 2, 1) #change the 512x1 to 1x512\n', '        x = self.fc1(x)\n', '        return F.log_softmax(x, dim = 2)\n', '\n', 'model = Net()\n', 'model.to(device)\n', 'print(model)']"
"ASSIGN=plt.subplots(2,2,figsize=(20,20)) ASSIGN=data.year.value_counts().index ASSIGN=data.year.value_counts() sns.barplot(ASSIGN=ASSIGN,ASSIGN=ASSIGN,ax=ax[0,0]) ax[0,0].set_title(""The counts of inspection by year"",size=20) ax[0,0].set_ylabel('counts',size=18) ax[0,0].set_xlabel('') ASSIGN=data.month.value_counts().index ASSIGN=data.month.value_counts() sns.barplot(ASSIGN=ASSIGN,ASSIGN=ASSIGN,ax=ax[0,1]) ax[0,1].set_title(""The counts of inspection by month"",size=20) ax[0,1].set_ylabel('counts',size=18) ax[0,1].set_xlabel('') ASSIGN=data.day.value_counts().index ASSIGN=data.day.value_counts() sns.barplot(ASSIGN=ASSIGN,ASSIGN=ASSIGN,ax=ax[1,0]) ax[1,0].set_title(""The counts of inspection by day"",size=20) ax[1,0].set_ylabel('counts',size=18) ax[1,0].set_xlabel('') data.groupby(['year','month'])['Inspection ID'].agg('count').unstack('year').plot(ax=ax[1,1]) ax[1,1].set_title(""The counts of inspection for every month by year"",size=20) ax[1,1].set_ylabel('counts',size=18) ax[1,1].set_xlabel('month')",1,"['fig,ax=plt.subplots(2,2,figsize=(20,20))\n', 'x=data.year.value_counts().index\n', 'y=data.year.value_counts()\n', 'sns.barplot(x=x,y=y,ax=ax[0,0])\n', 'ax[0,0].set_title(""The counts of inspection by year"",size=20)\n', ""ax[0,0].set_ylabel('counts',size=18)\n"", ""ax[0,0].set_xlabel('')\n"", '\n', 'x=data.month.value_counts().index\n', 'y=data.month.value_counts()\n', 'sns.barplot(x=x,y=y,ax=ax[0,1])\n', 'ax[0,1].set_title(""The counts of inspection by month"",size=20)\n', ""ax[0,1].set_ylabel('counts',size=18)\n"", ""ax[0,1].set_xlabel('')\n"", '\n', 'x=data.day.value_counts().index\n', 'y=data.day.value_counts()\n', 'sns.barplot(x=x,y=y,ax=ax[1,0])\n', 'ax[1,0].set_title(""The counts of inspection by day"",size=20)\n', ""ax[1,0].set_ylabel('counts',size=18)\n"", ""ax[1,0].set_xlabel('')\n"", '\n', ""data.groupby(['year','month'])['Inspection ID'].agg('count').unstack('year').plot(ax=ax[1,1])\n"", 'ax[1,1].set_title(""The counts of inspection for every month by year"",size=20)\n', ""ax[1,1].set_ylabel('counts',size=18)\n"", ""ax[1,1].set_xlabel('month')""]"
"CHECKPOINT ASSIGN = ASSIGN.drop(['DayNum', 'WScore', 'LScore', 'WLoc', 'NumOT'], axis=1) tourney_result",0,"['# deleting unnecessary columns\n', ""tourney_result = tourney_result.drop(['DayNum', 'WScore', 'LScore', 'WLoc', 'NumOT'], axis=1)\n"", 'tourney_result']"
data.isnull().sum().sort_values(ascending=False),0,['data.isnull().sum().sort_values(ascending=False)']
"ASSIGN = range(0,11,2) ASSIGN = range(1,12, 2) ASSIGN = draw_df[draw_df.index.isin(evens)] ASSIGN = draw_df[draw_df.index.isin(odds)] ASSIGN = [ast.literal_eval(pts) for pts in df1.drawing.values] ASSIGN = [ast.literal_eval(pts) for pts in df2.drawing.values] ASSIGN = df2.word.tolist() for i, example in enumerate(ASSIGN): plt.figure(figsize=(6,3)) for x,y in example: plt.subplot(1,2,1) plt.plot(x, y, marker='.') plt.axis('off') for x,y, in ASSIGN[i]: plt.subplot(1,2,2) plt.plot(x, y, marker='.') plt.axis('off') ASSIGN = labels[i] plt.title(ASSIGN, fontsize=10) plt.show()",1,"['evens = range(0,11,2)\n', 'odds = range(1,12, 2)\n', '# We have drawing images, 2 per label, consecutively\n', 'df1 = draw_df[draw_df.index.isin(evens)]\n', 'df2 = draw_df[draw_df.index.isin(odds)]\n', '\n', 'example1s = [ast.literal_eval(pts) for pts in df1.drawing.values]\n', 'example2s = [ast.literal_eval(pts) for pts in df2.drawing.values]\n', 'labels = df2.word.tolist()\n', '\n', 'for i, example in enumerate(example1s):\n', '    plt.figure(figsize=(6,3))\n', '    \n', '    for x,y in example:\n', '        plt.subplot(1,2,1)\n', ""        plt.plot(x, y, marker='.')\n"", ""        plt.axis('off')\n"", '\n', '    for x,y, in example2s[i]:\n', '        plt.subplot(1,2,2)\n', ""        plt.plot(x, y, marker='.')\n"", ""        plt.axis('off')\n"", '        label = labels[i]\n', '        plt.title(label, fontsize=10)\n', '\n', '    plt.show()  ']"
SETUP,0,['from sklearn.model_selection import GridSearchCV']
SETUP,0,"['import os\n', '\n', 'import numpy as np\n', 'import pandas as pd']"
"ASSIGN = [], [] for ps in train['PredictionString']: ASSIGN = get_img_coords(ps) xs += list(x) ys += list(y) plt.figure(figsize=(18,18)) plt.imshow(imread(PATH + 'train_imagespath' + train['ImageId'][2217] + '.jpg'), alpha=0.3) plt.scatter(ASSIGN, color='red', s=10, alpha=0.2);",1,"['xs, ys = [], []\n', '\n', ""for ps in train['PredictionString']:\n"", '    x, y = get_img_coords(ps)\n', '    xs += list(x)\n', '    ys += list(y)\n', '\n', 'plt.figure(figsize=(18,18))\n', ""plt.imshow(imread(PATH + 'train_images/' + train['ImageId'][2217] + '.jpg'), alpha=0.3)\n"", ""plt.scatter(xs, ys, color='red', s=10, alpha=0.2);""]"
"ASSIGN = Lasso() ASSIGN = {'alpha': [1e-15, 1e-10, 1e-8, 1e-4, 1e-3,1e-2, 1, 5, 10, 20]} ASSIGN = GridSearchCV(l, parameters, scoring='neg_mean_squared_error', cv = 100) ASSIGN.fit(x_t, Y_t) ASSIGN.best_params_",0,"['l = Lasso()\n', '\n', ""parameters = {'alpha': [1e-15, 1e-10, 1e-8, 1e-4, 1e-3,1e-2, 1, 5, 10, 20]}\n"", '\n', ""lr = GridSearchCV(l, parameters, scoring='neg_mean_squared_error', cv = 100)\n"", '\n', 'lr.fit(x_t, Y_t)\n', 'lr.best_params_']"
"ASSIGN = Net() ASSIGN = torch.optim.Adam(model.parameters(),lr=0.001) ASSIGN = nn.MSELoss()",0,"['# Training Settings\n', 'model = Net()\n', 'optimizer = torch.optim.Adam(model.parameters(),lr=0.001)\n', 'criterion = nn.MSELoss()']"
"CHECKPOINT ASSIGN = model15.predict(x_es) ASSIGN = mean_squared_error(Y_es, y_pred15, squared=False) ASSIGN = str(round(val, 4)) print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(Y_es, ASSIGN)))",0,"['y_pred15 = model15.predict(x_es)\n', '\n', 'val = mean_squared_error(Y_es, y_pred15, squared=False)\n', 'val15 = str(round(val, 4))\n', '\n', ""print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(Y_es, y_pred15)))\n""]"
CHECKPOINT data_mat.dtypes,0,['data_mat.dtypes']
headline_by_year(2015),0,['headline_by_year(2015)']
os.chdir('path') os.listdir(),0,"[""os.chdir('/kaggle/input/novel-corona-virus-2019-dataset/')\n"", 'os.listdir()']"
"CHECKPOINT ASSIGN = season_result.groupby(['Season', 'TeamID'])['Score'].sum().reset_index() season_score",0,"[""season_score = season_result.groupby(['Season', 'TeamID'])['Score'].sum().reset_index()\n"", 'season_score']"
len(irishtimes),0,['len(irishtimes)']
